dataset,mistakes,total,config.EDGE_DETECTION.APERTURE,config.EDGE_DETECTION.HIGH_THRESHOLD,config.EDGE_DETECTION.LOW_THRESHOLD,config.LINE_DETECTION.THRESHOLD,config.LINE_REFINEMENT.LINE_THRESHOLD,config.MAX_OUTLIER_INTERSECTION_POINT_RATIO_PER_LINE,config.RANSAC.BEST_SOLUTION_TOLERANCE,config.RANSAC.OFFSET_TOLERANCE
VAL,2,146,3,500,100,100,3,0.5,0.1,0.15000000000000002
VAL,16,146,3,400,80,100,3,0.7,0.1,0.1
VAL,74,146,3,250,100,100,3,0.5,0.1,0.05
VAL,11,146,3,300,100,200,3,0.5,0.1,0.1
VAL,63,146,3,350,140,200,3,0.7,0.1,0.2
VAL,146,146,3,450,120,50,3,0.7,0.1,0.05
VAL,86,146,3,250,110,200,3,0.5,0.1,0.2
VAL,88,146,3,150,150,200,3,0.5,0.1,0.05
VAL,82,146,3,250,80,100,3,0.5,0.1,0.2
VAL,116,146,3,350,120,250,3,0.7,0.1,0.2
VAL,109,146,3,250,100,250,3,0.7,0.1,0.1
VAL,6,146,3,500,80,150,3,0.5,0.1,0.05
VAL,7,146,3,350,130,100,3,0.5,0.1,0.15000000000000002
VAL,75,146,3,200,120,150,3,0.7,0.1,0.15000000000000002
VAL,3,146,3,450,120,150,3,0.7,0.1,0.1
VAL,13,146,3,500,130,100,3,0.7,0.1,0.2
VAL,122,146,3,350,90,250,3,0.5,0.1,0.2
VAL,123,146,3,150,90,150,3,0.7,0.1,0.1
VAL,77,146,3,300,150,100,3,0.7,0.1,0.05
VAL,113,146,3,200,120,250,3,0.7,0.1,0.1
VAL,16,146,3,350,140,200,3,0.7,0.1,0.1
VAL,12,146,3,500,100,200,3,0.7,0.1,0.15000000000000002
VAL,91,146,3,150,130,150,3,0.7,0.1,0.1
VAL,129,146,3,500,150,250,3,0.7,0.1,0.1
VAL,23,146,3,500,130,150,3,0.5,0.1,0.2
VAL,19,146,3,500,100,150,3,0.7,0.1,0.2
VAL,8,146,3,500,110,200,3,0.5,0.1,0.1
VAL,23,146,3,350,130,200,3,0.7,0.1,0.15000000000000002
VAL,130,146,3,150,100,250,3,0.7,0.1,0.05
VAL,105,146,3,150,120,150,3,0.5,0.1,0.05
VAL,67,146,3,250,90,100,3,0.7,0.1,0.15000000000000002
VAL,120,146,3,400,150,250,3,0.5,0.1,0.1
VAL,105,146,3,250,110,250,3,0.7,0.1,0.05
VAL,14,146,3,350,80,200,3,0.5,0.1,0.05
VAL,146,146,3,400,120,50,3,0.7,0.1,0.05
VAL,119,146,3,500,110,250,3,0.7,0.1,0.2
VAL,141,146,3,100,90,150,3,0.5,0.1,0.2
VAL,9,146,3,300,100,200,3,0.7,0.1,0.1
VAL,1,146,3,350,100,150,3,0.7,0.1,0.1
VAL,117,146,3,450,140,250,3,0.5,0.1,0.05
VAL,131,146,3,150,140,250,3,0.5,0.1,0.2
VAL,115,146,3,150,100,150,3,0.5,0.1,0.15000000000000002
VAL,5,146,3,500,120,100,3,0.7,0.1,0.1
VAL,6,146,3,350,120,100,3,0.7,0.1,0.2
VAL,105,146,3,400,80,250,3,0.7,0.1,0.15000000000000002
VAL,9,146,3,250,140,200,3,0.7,0.1,0.1
VAL,82,146,3,150,150,150,3,0.7,0.1,0.05
VAL,123,146,3,150,110,100,3,0.7,0.1,0.1
VAL,119,146,3,150,140,250,3,0.7,0.1,0.1
VAL,12,146,3,350,140,150,3,0.7,0.1,0.15000000000000002
VAL,9,146,3,400,80,150,3,0.7,0.1,0.1
VAL,129,146,3,200,100,250,3,0.7,0.1,0.2
VAL,144,146,3,150,80,100,3,0.5,0.1,0.2
VAL,11,146,3,450,150,150,3,0.5,0.1,0.05
VAL,5,146,3,500,110,150,3,0.7,0.1,0.05
VAL,7,146,3,400,80,100,3,0.7,0.1,0.15000000000000002
VAL,27,146,3,350,110,150,3,0.7,0.1,0.2
VAL,110,146,3,200,150,250,3,0.7,0.1,0.15000000000000002
VAL,133,146,3,150,130,100,3,0.7,0.1,0.05
VAL,4,146,3,300,120,150,3,0.5,0.1,0.1
VAL,55,146,3,500,150,200,3,0.5,0.1,0.15000000000000002
VAL,115,146,3,250,90,250,3,0.5,0.1,0.05
VAL,5,146,3,450,90,150,3,0.5,0.1,0.1
VAL,144,146,3,100,90,200,3,0.5,0.1,0.15000000000000002
VAL,99,146,3,450,90,250,3,0.7,0.1,0.1
VAL,12,146,3,500,130,150,3,0.7,0.1,0.15000000000000002
VAL,96,146,3,350,90,250,3,0.7,0.1,0.05
VAL,114,146,3,500,120,250,3,0.7,0.1,0.1
VAL,25,146,3,450,150,100,3,0.5,0.1,0.05
VAL,12,146,3,400,130,200,3,0.7,0.1,0.05
VAL,5,146,3,400,110,200,3,0.5,0.1,0.1
VAL,90,146,3,200,150,200,3,0.7,0.1,0.2
VAL,108,146,3,250,110,250,3,0.5,0.1,0.15000000000000002
VAL,103,146,3,200,80,200,3,0.7,0.1,0.1
VAL,2,146,3,500,100,100,3,0.5,0.1,0.1
VAL,88,146,3,200,100,100,3,0.7,0.1,0.2
VAL,3,146,3,450,100,200,3,0.7,0.1,0.1
VAL,56,146,3,250,100,150,3,0.5,0.1,0.15000000000000002
VAL,121,146,3,300,140,250,3,0.5,0.1,0.2
VAL,11,146,3,450,100,150,3,0.7,0.1,0.05
VAL,111,146,3,150,110,100,3,0.5,0.1,0.1
VAL,72,146,3,250,90,150,3,0.7,0.1,0.1
VAL,0,146,3,500,100,150,3,0.7,0.1,0.1
